title,description,genres
A Minecraft Movie,four misfits find struggling ordinary problems suddenly pulled mysterious portal overworld bizarre cubic wonderland thrives imagination get back home master world embarking magical quest unexpected expert crafter steve,"Family, Comedy, Adventure, Fantasy"
Final Destination Bloodlines,plagued violent recurring nightmare college student stefanie heads home track one person might able break cycle save family grisly demise inevitably awaits,"Horror, Mystery"
The Great Escape,nan,"Action, Thriller"
A Working Man,levon cade left behind decorated military career black ops live simple life working construction bosss daughter like family taken human traffickers search bring home uncovers world corruption far greater ever could imagined,"Action, Crime, Thriller"
Snow White,following benevolent kings disappearance evil queen dominated fair land cruel streak princess snow white flees castle queen jealousy snow whites inner beauty tries kill deep dark woods stumbles upon seven magical dwarves young bandit named jonathan together strive survive queens relentless pursuit aspire take back kingdom,"Family, Fantasy"
Warfare,platoon navy seals embarks dangerous mission ramadi iraq chaos brotherhood war retold memories event,"War, Action"
Tin Soldier,exspecial forces operative seeks revenge cult leader corrupted former comrades shinjas leader known bokushi promises veterans purpose protection revealed destructive influence exsoldier nash cavanaugh joins forces military operative emmanuel ashburn infiltrate bokushis fortress expose reign terror,"Action, Thriller"
Mission: Impossible - The Final Reckoning,ethan hunt imf team continue search terrifying ai known entity — infiltrated intelligence networks globe — worlds governments mysterious ghost ethans past trail joined new allies armed means shut entity good hunt race time prevent world know changing forever,"Action, Adventure, Thriller"
Bambi: A Life in the Woods,life bambi male roe deer birth childhood loss mother finding mate lessons learns father experience gains dangers posed human hunters forest,"Adventure, Family, Documentary"
Thunderbolts*,finding ensnared death trap seven disillusioned castoffs must embark dangerous mission force confront darkest corners pasts,"Action, Science Fiction, Adventure"
Exterritorial,son vanishes inside us consulate exspecial forces soldier sara everything power find — uncovers dark conspiracy,"Thriller, Action"
The Haunting at Saint Joseph's,engaged muslim doctor fiancé friends go holiday st joseph’s guesthouse unaware site sacrifice innocent centuries soon come believe haunted causing go crazy emotions spiral control,"Horror, Thriller"
Last Bullet,car genius lino returns conclude vendetta areski corrupt commander ruined lives turbocharged trilogy finale,"Action, Crime, Thriller, Drama"
